class,acc_val,acc_v2,drop
769,0.9,0.8,0.09999999999999998
39,0.9,0.8,0.09999999999999998
327,1.0,0.9,0.09999999999999998
611,1.0,0.9,0.09999999999999998
768,1.0,0.9,0.09999999999999998
765,0.9,0.8,0.09999999999999998
323,1.0,0.9,0.09999999999999998
754,0.9,0.8,0.09999999999999998
236,0.9,0.8,0.09999999999999998
238,0.9,0.8,0.09999999999999998
704,1.0,0.9,0.09999999999999998
616,0.9,0.8,0.09999999999999998
739,1.0,0.9,0.09999999999999998
932,1.0,0.9,0.09999999999999998
16,1.0,0.9,0.09999999999999998
61,0.9,0.8,0.09999999999999998
561,1.0,0.9,0.09999999999999998
560,1.0,0.9,0.09999999999999998
208,0.9,0.8,0.09999999999999998
345,0.68,0.6,0.08000000000000007
904,0.78,0.7,0.08000000000000007
592,0.98,0.9,0.07999999999999996
456,0.98,0.9,0.07999999999999996
475,0.98,0.9,0.07999999999999996
512,0.98,0.9,0.07999999999999996
630,0.98,0.9,0.07999999999999996
626,0.98,0.9,0.07999999999999996
426,0.98,0.9,0.07999999999999996
433,0.88,0.8,0.07999999999999996
471,0.98,0.9,0.07999999999999996
502,0.88,0.8,0.07999999999999996
781,0.98,0.9,0.07999999999999996
405,0.98,0.9,0.07999999999999996
785,0.98,0.9,0.07999999999999996
736,0.98,0.9,0.07999999999999996
318,0.88,0.8,0.07999999999999996
933,0.98,0.9,0.07999999999999996
307,0.98,0.9,0.07999999999999996
758,0.98,0.9,0.07999999999999996
202,0.88,0.8,0.07999999999999996
299,0.98,0.9,0.07999999999999996
296,0.98,0.9,0.07999999999999996
922,0.98,0.9,0.07999999999999996
76,0.98,0.9,0.07999999999999996
92,0.98,0.9,0.07999999999999996
778,0.98,0.9,0.07999999999999996
262,0.98,0.9,0.07999999999999996
331,0.98,0.9,0.07999999999999996
870,0.98,0.9,0.07999999999999996
247,0.98,0.9,0.07999999999999996
805,0.98,0.9,0.07999999999999996
141,0.98,0.9,0.07999999999999996
811,0.88,0.8,0.07999999999999996
227,0.88,0.8,0.07999999999999996
215,0.98,0.9,0.07999999999999996
845,0.98,0.9,0.07999999999999996
209,0.98,0.9,0.07999999999999996
177,0.98,0.9,0.07999999999999996
178,0.98,0.9,0.07999999999999996
833,0.98,0.9,0.07999999999999996
731,0.98,0.9,0.07999999999999996
195,0.98,0.9,0.07999999999999996
938,0.98,0.9,0.07999999999999996
352,0.88,0.8,0.07999999999999996
644,0.98,0.9,0.07999999999999996
396,0.98,0.9,0.07999999999999996
388,0.98,0.9,0.07999999999999996
989,0.98,0.9,0.07999999999999996
372,0.98,0.9,0.07999999999999996
983,0.98,0.9,0.07999999999999996
670,0.98,0.9,0.07999999999999996
678,0.98,0.9,0.07999999999999996
335,0.98,0.9,0.07999999999999996
683,0.88,0.8,0.07999999999999996
687,0.98,0.9,0.07999999999999996
981,0.98,0.9,0.07999999999999996
351,0.98,0.9,0.07999999999999996
940,0.98,0.9,0.07999999999999996
339,0.98,0.9,0.07999999999999996
50,0.98,0.9,0.07999999999999996
336,0.98,0.9,0.07999999999999996
567,0.76,0.7,0.06000000000000005
377,0.76,0.7,0.06000000000000005
598,0.76,0.7,0.06000000000000005
311,0.16,0.1,0.06
413,0.26,0.2,0.06
3,0.96,0.9,0.05999999999999994
939,0.86,0.8,0.05999999999999994
174,0.96,0.9,0.05999999999999994
172,0.86,0.8,0.05999999999999994
171,0.96,0.9,0.05999999999999994
181,0.96,0.9,0.05999999999999994
7,0.86,0.8,0.05999999999999994
142,0.96,0.9,0.05999999999999994
920,0.96,0.9,0.05999999999999994
553,0.96,0.9,0.05999999999999994
868,0.86,0.8,0.05999999999999994
41,0.96,0.9,0.05999999999999994
964,0.96,0.9,0.05999999999999994
126,0.96,0.9,0.05999999999999994
875,0.96,0.9,0.05999999999999994
971,0.96,0.9,0.05999999999999994
877,0.96,0.9,0.05999999999999994
115,0.96,0.9,0.05999999999999994
71,0.96,0.9,0.05999999999999994
113,0.96,0.9,0.05999999999999994
887,0.96,0.9,0.05999999999999994
896,0.96,0.9,0.05999999999999994
931,0.96,0.9,0.05999999999999994
831,0.96,0.9,0.05999999999999994
773,0.96,0.9,0.05999999999999994
212,0.96,0.9,0.05999999999999994
447,0.96,0.9,0.05999999999999994
444,0.96,0.9,0.05999999999999994
453,0.86,0.8,0.05999999999999994
613,0.96,0.9,0.05999999999999994
783,0.96,0.9,0.05999999999999994
715,0.96,0.9,0.05999999999999994
792,0.96,0.9,0.05999999999999994
797,0.86,0.8,0.05999999999999994
801,0.96,0.9,0.05999999999999994
615,0.96,0.9,0.05999999999999994
203,0.96,0.9,0.05999999999999994
589,0.96,0.9,0.05999999999999994
587,0.86,0.8,0.05999999999999994
832,0.96,0.9,0.05999999999999994
481,0.74,0.7,0.040000000000000036
505,0.74,0.7,0.040000000000000036
119,0.74,0.7,0.040000000000000036
485,0.44,0.4,0.03999999999999998
627,0.94,0.9,0.039999999999999925
5,0.94,0.9,0.039999999999999925
308,0.94,0.9,0.039999999999999925
432,0.84,0.8,0.039999999999999925
682,0.94,0.9,0.039999999999999925
716,0.94,0.9,0.039999999999999925
973,0.94,0.9,0.039999999999999925
43,0.94,0.9,0.039999999999999925
387,0.94,0.9,0.039999999999999925
375,0.94,0.9,0.039999999999999925
763,0.94,0.9,0.039999999999999925
346,0.94,0.9,0.039999999999999925
425,0.94,0.9,0.039999999999999925
421,0.94,0.9,0.039999999999999925
564,0.94,0.9,0.039999999999999925
483,0.84,0.8,0.039999999999999925
865,0.94,0.9,0.039999999999999925
254,0.94,0.9,0.039999999999999925
835,0.94,0.9,0.039999999999999925
635,0.94,0.9,0.039999999999999925
848,0.94,0.9,0.039999999999999925
155,0.84,0.8,0.039999999999999925
216,0.94,0.9,0.039999999999999925
808,0.84,0.8,0.039999999999999925
132,0.94,0.9,0.039999999999999925
999,0.84,0.8,0.039999999999999925
789,0.94,0.9,0.039999999999999925
273,0.84,0.8,0.039999999999999925
114,0.94,0.9,0.039999999999999925
288,0.94,0.9,0.039999999999999925
82,0.94,0.9,0.039999999999999925
941,0.92,0.9,0.020000000000000018
770,0.92,0.9,0.020000000000000018
881,0.92,0.9,0.020000000000000018
552,0.92,0.9,0.020000000000000018
857,0.92,0.9,0.020000000000000018
772,0.92,0.9,0.020000000000000018
624,0.92,0.9,0.020000000000000018
591,0.92,0.9,0.020000000000000018
586,0.92,0.9,0.020000000000000018
766,0.92,0.9,0.020000000000000018
500,0.92,0.9,0.020000000000000018
513,0.92,0.9,0.020000000000000018
526,0.72,0.7,0.020000000000000018
112,0.92,0.9,0.020000000000000018
443,0.92,0.9,0.020000000000000018
356,0.52,0.5,0.020000000000000018
501,0.62,0.6,0.020000000000000018
86,0.92,0.9,0.020000000000000018
428,0.92,0.9,0.020000000000000018
424,0.92,0.9,0.020000000000000018
252,0.92,0.9,0.020000000000000018
219,0.92,0.9,0.020000000000000018
45,0.92,0.9,0.020000000000000018
495,0.92,0.9,0.020000000000000018
409,0.62,0.6,0.020000000000000018
529,0.92,0.9,0.020000000000000018
461,0.02,0.0,0.02
664,0.02,0.0,0.02
620,0.02,0.0,0.02
435,0.02,0.0,0.02
369,0.82,0.8,0.019999999999999907
692,0.82,0.8,0.019999999999999907
839,0.82,0.8,0.019999999999999907
997,0.82,0.8,0.019999999999999907
531,0.82,0.8,0.019999999999999907
370,0.9,0.9,0.0
699,1.0,1.0,0.0
694,1.0,1.0,0.0
88,1.0,1.0,0.0
106,0.9,0.9,0.0
83,1.0,1.0,0.0
108,0.7,0.7,0.0
391,1.0,1.0,0.0
909,0.8,0.8,0.0
701,1.0,1.0,0.0
354,1.0,1.0,0.0
651,0.9,0.9,0.0
348,0.9,0.9,0.0
711,1.0,1.0,0.0
90,1.0,1.0,0.0
105,1.0,1.0,0.0
902,1.0,1.0,0.0
906,0.7,0.7,0.0
361,1.0,1.0,0.0
685,1.0,1.0,0.0
363,1.0,1.0,0.0
103,1.0,1.0,0.0
364,1.0,1.0,0.0
102,1.0,1.0,0.0
376,1.0,1.0,0.0
666,1.0,1.0,0.0
118,0.9,0.9,0.0
232,0.8,0.8,0.0
99,1.0,1.0,0.0
674,1.0,1.0,0.0
672,1.0,1.0,0.0
544,0.9,0.9,0.0
724,0.9,0.9,0.0
880,1.0,1.0,0.0
173,0.9,0.9,0.0
291,1.0,1.0,0.0
191,0.9,0.9,0.0
543,1.0,1.0,0.0
205,0.9,0.9,0.0
210,0.9,0.9,0.0
220,0.8,0.8,0.0
270,0.9,0.9,0.0
268,1.0,1.0,0.0
786,1.0,1.0,0.0
267,1.0,1.0,0.0
258,1.0,1.0,0.0
255,1.0,1.0,0.0
820,1.0,1.0,0.0
795,1.0,1.0,0.0
818,0.8,0.8,0.0
800,1.0,1.0,0.0
816,1.0,1.0,0.0
803,1.0,1.0,0.0
804,0.9,0.9,0.0
767,0.9,0.9,0.0
762,0.7,0.7,0.0
344,1.0,1.0,0.0
847,0.9,0.9,0.0
719,1.0,1.0,0.0
723,1.0,1.0,0.0
78,0.8,0.8,0.0
727,1.0,1.0,0.0
728,0.8,0.8,0.0
332,1.0,1.0,0.0
136,1.0,1.0,0.0
321,1.0,1.0,0.0
139,1.0,1.0,0.0
863,1.0,1.0,0.0
143,1.0,1.0,0.0
316,1.0,1.0,0.0
315,1.0,1.0,0.0
743,0.9,0.9,0.0
145,1.0,1.0,0.0
746,1.0,1.0,0.0
312,1.0,1.0,0.0
309,0.9,0.9,0.0
756,1.0,1.0,0.0
394,1.0,1.0,0.0
100,1.0,1.0,0.0
918,1.0,1.0,0.0
970,0.8,0.8,0.0
482,0.0,0.0,0.0
18,1.0,1.0,0.0
22,1.0,1.0,0.0
476,1.0,1.0,0.0
23,1.0,1.0,0.0
466,1.0,1.0,0.0
462,0.9,0.9,0.0
487,0.9,0.9,0.0
450,1.0,1.0,0.0
603,1.0,1.0,0.0
606,1.0,1.0,0.0
607,1.0,1.0,0.0
965,1.0,1.0,0.0
963,0.9,0.9,0.0
484,0.8,0.8,0.0
14,1.0,1.0,0.0
430,1.0,1.0,0.0
523,1.0,1.0,0.0
2,0.9,0.9,0.0
539,0.9,0.9,0.0
995,1.0,1.0,0.0
554,1.0,1.0,0.0
555,0.9,0.9,0.0
991,1.0,1.0,0.0
9,1.0,1.0,0.0
984,1.0,1.0,0.0
10,1.0,1.0,0.0
11,1.0,1.0,0.0
571,1.0,1.0,0.0
986,1.0,1.0,0.0
573,1.0,1.0,0.0
13,1.0,1.0,0.0
612,1.0,1.0,0.0
24,1.0,1.0,0.0
812,1.0,1.0,0.0
645,1.0,1.0,0.0
928,0.8,0.8,0.0
934,1.0,1.0,0.0
947,0.5,0.5,0.0
955,1.0,1.0,0.0
632,0.8,0.8,0.0
60,0.68,0.7,-0.019999999999999907
860,0.98,1.0,-0.020000000000000018
17,0.98,1.0,-0.020000000000000018
185,0.88,0.9,-0.020000000000000018
574,0.98,1.0,-0.020000000000000018
901,0.88,0.9,-0.020000000000000018
576,0.98,1.0,-0.020000000000000018
63,0.98,1.0,-0.020000000000000018
294,0.98,1.0,-0.020000000000000018
295,0.98,1.0,-0.020000000000000018
160,0.98,1.0,-0.020000000000000018
98,0.98,1.0,-0.020000000000000018
300,0.98,1.0,-0.020000000000000018
757,0.98,1.0,-0.020000000000000018
491,0.98,1.0,-0.020000000000000018
150,0.98,1.0,-0.020000000000000018
752,0.98,1.0,-0.020000000000000018
490,0.78,0.8,-0.020000000000000018
147,0.98,1.0,-0.020000000000000018
583,0.98,1.0,-0.020000000000000018
95,0.98,1.0,-0.020000000000000018
639,0.48,0.5,-0.020000000000000018
93,0.98,1.0,-0.020000000000000018
480,0.98,1.0,-0.020000000000000018
807,0.98,1.0,-0.020000000000000018
244,0.98,1.0,-0.020000000000000018
646,0.98,1.0,-0.020000000000000018
996,0.98,1.0,-0.020000000000000018
921,0.88,0.9,-0.020000000000000018
993,0.98,1.0,-0.020000000000000018
251,0.98,1.0,-0.020000000000000018
796,0.98,1.0,-0.020000000000000018
924,0.98,1.0,-0.020000000000000018
642,0.98,1.0,-0.020000000000000018
793,0.98,1.0,-0.020000000000000018
253,0.98,1.0,-0.020000000000000018
533,0.98,1.0,-0.020000000000000018
89,0.98,1.0,-0.020000000000000018
8,0.88,0.9,-0.020000000000000018
70,0.98,1.0,-0.020000000000000018
384,0.98,1.0,-0.020000000000000018
224,0.88,0.9,-0.020000000000000018
520,0.88,0.9,-0.020000000000000018
927,0.98,1.0,-0.020000000000000018
91,0.98,1.0,-0.020000000000000018
779,0.98,1.0,-0.020000000000000018
570,0.98,1.0,-0.020000000000000018
314,0.88,0.9,-0.020000000000000018
146,0.98,1.0,-0.020000000000000018
53,0.98,1.0,-0.020000000000000018
338,0.98,1.0,-0.020000000000000018
343,0.98,1.0,-0.020000000000000018
367,0.98,1.0,-0.020000000000000018
347,0.98,1.0,-0.020000000000000018
21,0.98,1.0,-0.020000000000000018
604,0.98,1.0,-0.020000000000000018
882,0.98,1.0,-0.020000000000000018
350,0.98,1.0,-0.020000000000000018
705,0.78,0.8,-0.020000000000000018
680,0.98,1.0,-0.020000000000000018
355,0.98,1.0,-0.020000000000000018
702,0.88,0.9,-0.020000000000000018
417,0.98,1.0,-0.020000000000000018
107,0.98,1.0,-0.020000000000000018
684,0.98,1.0,-0.020000000000000018
962,0.88,0.9,-0.020000000000000018
360,0.98,1.0,-0.020000000000000018
37,0.88,0.9,-0.020000000000000018
891,0.98,1.0,-0.020000000000000018
690,0.98,1.0,-0.020000000000000018
688,0.98,1.0,-0.020000000000000018
956,0.98,1.0,-0.020000000000000018
340,0.98,1.0,-0.020000000000000018
44,0.78,0.8,-0.020000000000000018
392,0.98,1.0,-0.020000000000000018
974,0.98,1.0,-0.020000000000000018
720,0.98,1.0,-0.020000000000000018
128,0.98,1.0,-0.020000000000000018
722,0.98,1.0,-0.020000000000000018
51,0.98,1.0,-0.020000000000000018
49,0.98,1.0,-0.020000000000000018
29,0.98,1.0,-0.020000000000000018
900,0.98,1.0,-0.020000000000000018
133,0.98,1.0,-0.020000000000000018
138,0.98,1.0,-0.020000000000000018
593,0.98,1.0,-0.020000000000000018
326,0.98,1.0,-0.020000000000000018
726,0.98,1.0,-0.020000000000000018
25,0.98,1.0,-0.020000000000000018
622,0.66,0.7,-0.039999999999999925
116,0.96,1.0,-0.040000000000000036
152,0.86,0.9,-0.040000000000000036
188,0.96,1.0,-0.040000000000000036
814,0.96,1.0,-0.040000000000000036
140,0.96,1.0,-0.040000000000000036
957,0.96,1.0,-0.040000000000000036
192,0.96,1.0,-0.040000000000000036
830,0.96,1.0,-0.040000000000000036
228,0.96,1.0,-0.040000000000000036
104,0.96,1.0,-0.040000000000000036
867,0.96,1.0,-0.040000000000000036
226,0.76,0.8,-0.040000000000000036
207,0.96,1.0,-0.040000000000000036
149,0.96,1.0,-0.040000000000000036
32,0.76,0.8,-0.040000000000000036
894,0.96,1.0,-0.040000000000000036
111,0.96,1.0,-0.040000000000000036
